駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
8452,播州赤穂,"7,780","2,953","1,384",46.87,391,"1,797",756,"3,902","1,238",416,34,82,"555,261",322,44,634,7.99,10.06,10.5,12.61,12.88,12.67,14.64,11.28,7.37,52.44,34.15,"2,180"
8453,天和,452,479,228,47.6,70,296,115,"1,096",162,32,20,2,0,26,2,48,8.09,10.79,8.51,11.41,12.86,13.9,16.39,11.41,6.64,50,50,848
8454,備前福河,88,193,91,47.15,15,99,78,126,70,13,19,1,0,5,0,0,4.64,8.76,7.22,6.7,9.79,13.4,17.53,19.59,12.37,0,100,12
8455,梁瀬,286,373,181,48.53,50,202,122,426,140,36,26,9,"44,631",39,3,0,8.58,8.31,9.12,8.31,12.6,12.6,14.48,13.4,12.6,66.67,22.22,271
8456,和田山,"1,418","1,166",556,47.68,163,719,284,"1,485",459,138,30,41,"113,121",168,9,28,8.76,9.27,8.84,15.19,12.88,12.45,13.65,10.82,8.15,56.1,36.59,"1,033"
8457,養父,160,334,160,47.9,32,172,130,240,120,23,19,4,"2,186",11,1,0,5.37,7.16,5.37,8.96,9.55,11.64,22.39,14.33,15.22,0,75,73
8458,八鹿,"1,128",234,111,47.44,25,137,70,382,90,25,28,8,"59,141",36,2,0,6.84,8.97,8.97,11.11,7.26,15.38,18.8,12.39,10.26,37.5,50,292
8459,江原,"1,234","1,575",709,45.02,207,953,412,"2,394",576,171,30,70,"402,304",223,18,499,8.79,13.63,8.47,12.1,11.15,11.91,13.31,11.27,9.36,64.29,32.86,"1,366"
8460,国府,164,724,348,48.07,136,427,161,454,243,32,13,12,"90,621",33,1,0,12.15,10.77,7.04,15.47,10.77,12.15,16.44,9.67,5.52,25,33.33,161
8461,豊岡,"3,790","2,765","1,315",47.56,367,"1,639",758,"3,978","1,153",397,34,136,"1,044,202",468,34,3,8.39,9.04,9.19,12.66,13.06,12.98,14.07,12.3,8.32,64.71,30.15,"2,962"
8462,玄武洞,98,80,41,51.25,13,43,23,48,20,3,15,0,0,2,0,0,13.92,7.59,5.06,12.66,10.13,13.92,13.92,13.92,8.86,0,0,10
8463,城崎温泉,"2,140",883,404,45.75,83,473,327,"1,490",358,113,32,52,"181,343",201,25,147,5.09,7.47,6.56,8.6,9.73,14.59,19.68,16.52,11.76,57.69,36.54,"1,048"
8464,竹野,536,449,211,46.99,63,267,119,334,158,35,22,5,"25,443",39,4,0,6.67,12.67,6.89,11.11,12.22,15.11,16.22,11.33,7.78,40,40,163
8465,佐津,286,386,182,47.15,54,198,135,440,123,20,16,9,"26,893",32,2,105,8.57,10.39,4.16,10.13,12.73,11.69,16.62,13.77,11.95,55.56,33.33,165
8466,柴山,252,370,173,46.76,51,212,106,297,111,18,16,2,"3,673",22,2,57,7.8,11.02,6.72,11.29,11.02,13.98,16.13,13.71,8.33,50,50,110
8467,香住,820,"1,247",597,47.87,169,744,334,"1,457",419,85,20,44,"228,829",170,11,137,8.91,9.47,7.87,12.04,11.24,15.57,15.57,12.04,7.3,54.55,38.64,849
8468,鎧,24,136,64,47.06,8,83,45,70,45,7,16,0,0,2,0,0,2.92,9.49,6.57,6.57,11.68,20.44,16.79,12.41,13.14,0,0,10
8469,餘部,118,283,131,46.29,36,160,87,234,85,12,14,1,0,17,2,35,8.13,8.83,6.71,10.95,13.78,13.43,13.07,13.78,11.31,0,100,62
8470,久谷,20,115,52,45.22,19,64,32,58,32,3,9,0,0,1,0,0,8.77,12.28,3.51,12.28,10.53,11.4,20.18,10.53,10.53,0,0,4
8471,浜坂,580,"1,759",845,48.04,231,994,533,"1,848",650,156,24,55,"182,582",191,17,159,8.82,8.59,5.75,11.6,10.07,15.3,16.67,12.68,10.52,56.36,34.55,923
8472,諸寄,140,640,305,47.66,93,320,228,461,219,45,21,11,"15,229",38,1,0,8.1,10.9,5.45,7.32,10.75,15.26,15.11,15.73,11.37,18.18,81.82,148
8473,居組,18,22,11,50,1,9,12,13,9,2,22,0,0,0,0,0,4.55,4.55,0,9.09,4.55,9.09,27.27,27.27,13.64,0,0,0
8474,尼崎,"86,142","8,387","4,007",47.78,942,"5,623","1,740","11,862","4,098","1,813",44,95,"1,263,614",480,50,828,8.16,7.09,10.45,17.58,16.12,12.16,13.49,9.83,5.12,47.37,50.53,"8,201"
8475,川西能勢口,"63,065","7,924","3,623",45.72,851,"4,869","2,203","11,391","3,630","1,394",38,261,"4,364,263",827,94,320,7.04,7.15,11.03,14.23,14.02,11.15,15.08,12.81,7.48,68.97,27.97,"7,672"
8476,雲雀丘花屋敷,"12,232","6,575","3,068",46.66,899,"4,187","1,472","5,826","2,788",767,28,45,"228,314",125,7,"2,131",9.51,8.68,8.84,15.17,16.16,11.48,14.5,10.03,5.63,66.67,31.11,"1,180"
8477,山本,"18,581","5,840","2,730",46.75,"1,036","3,834",967,"4,330","2,296",574,25,26,"201,174",153,13,"1,306",12.04,10.5,9.32,18.79,15.98,9.97,12.03,7.57,3.79,50,46.15,"1,166"
8478,中山観音,"12,942","5,381","2,507",46.59,783,"3,422","1,168","3,447","2,306",702,30,39,"528,667",168,14,0,9.92,8.77,9.42,17.1,15.06,10.52,14.05,9.94,5.23,48.72,48.72,"1,505"
8479,売布神社,"9,234","6,734","3,094",45.95,935,"4,160","1,629","4,802","2,785",789,28,57,"854,925",209,14,653,8.59,9.78,8.39,12.58,16.32,11.83,15.19,10.67,6.63,49.12,45.61,"1,455"
8480,清荒神,"8,035","7,243","3,284",45.34,949,"4,579","1,680","4,921","3,109","1,012",33,90,"528,681",248,32,380,8.28,9.71,9.74,13.77,15.06,12.47,14.38,10.46,6.12,48.89,45.56,"1,899"
8481,宝塚,"50,301","7,918","3,552",44.86,"1,121","5,016","1,746","7,574","3,485","1,149",33,135,"1,898,090",500,55,378,9.83,8.69,8.7,15.16,16.06,11.73,14.03,10.2,5.62,66.67,31.11,"4,306"
8482,園田,"34,077","9,548","4,704",49.27,"1,033","6,385","1,996","7,223","4,910","2,474",50,121,"1,095,121",510,69,489,7.29,7.57,11.6,17.14,14.84,11.91,15.07,9.48,5.1,49.59,48.76,"3,447"
8483,塚口,"52,750","12,785","6,033",47.19,"1,301","8,843","2,436","11,351","7,049","3,938",56,206,"2,199,372",809,97,620,7.15,6.83,13.58,18.68,14.75,11.66,13.93,8.78,4.63,63.59,34.47,"7,013"
8484,武庫之荘,"53,797","11,982","5,652",47.17,"1,346","8,247","2,205","8,655","6,132","2,928",48,142,"1,426,315",630,79,546,7.89,7.38,11.31,18.2,16.76,12.41,13.75,8.08,4.21,51.41,46.48,"4,165"
8485,西宮北口,"99,642","10,152","4,526",44.58,"1,091","6,891","1,920","10,262","5,408","2,776",51,132,"2,161,522",631,69,549,7.68,7.34,15.13,18.59,14.27,10.84,12.21,8.94,5.01,57.58,38.64,"6,527"
8486,夙川,"29,891","8,225","3,625",44.07,"1,133","5,417","1,549","7,870","3,752","1,386",37,125,"1,043,942",488,54,"1,708",9.4,8.78,10.98,16.77,16.29,11.95,11.94,8.58,5.32,65.6,30.4,"3,301"
8487,芦屋川,"17,734","7,088","3,105",43.81,797,"4,559","1,705","5,676","3,291","1,182",36,100,"553,949",404,48,475,7.68,7.41,9.11,14.12,15.95,13.22,14.72,10.89,6.91,66,33,"2,493"
8488,岡本,"32,098","9,870","4,346",44.03,"1,258","6,596","1,937","9,133","4,753","2,122",45,175,"978,327",645,76,"1,963",7.96,10.18,12.07,14.94,15.86,12.58,11.92,8.32,6.17,62.29,37.71,"3,862"
8489,御影,"18,253","7,759","3,459",44.58,"1,082","4,900","1,725","5,101","3,419","1,181",35,54,"434,650",232,19,653,8.75,10.12,9.32,13.87,16.2,12.5,12.38,9.54,7.32,50,44.44,"1,680"
8490,六甲,"34,206","11,557","5,309",45.94,"1,127","7,667","2,562","8,649","6,348","3,519",55,122,"801,318",611,69,"1,655",6.8,8.61,16.27,14.39,13.17,11.09,13.25,9.97,6.46,54.1,40.98,"3,391"
8491,王子公園,"20,827","12,379","5,911",47.75,"1,304","8,147","2,749","9,728","6,488","3,317",51,199,"1,012,137",740,97,"1,112",7.39,7.78,14.07,16.77,12.76,11.26,13.76,10.21,6,51.26,46.23,"4,689"
8492,春日野道,"11,050","15,076","7,082",46.98,"1,295","9,440","3,818","13,398","8,802","5,285",60,234,"1,399,811","1,134",142,"1,025",5.96,6.62,14.28,15.93,11.93,11.09,15.31,12.41,6.48,43.16,51.28,"6,943"
8493,三宮,"119,972","6,095","2,842",46.63,372,"4,214","1,186","64,025","4,066","2,809",69,"1,209","23,260,102","6,660",965,904,4.8,4.56,16.43,18.64,14.14,12.44,15.06,9.17,4.77,81.14,17.87,"61,705"
8494,今津,"25,385","10,333","4,987",48.26,"1,202","6,950","2,086","9,148","5,147","2,373",46,99,"1,609,546",499,56,"1,461",7.94,7.58,13.94,18.18,14.29,10.48,13.09,9.34,5.16,48.48,42.42,"4,144"
8495,阪神国道,"4,064","9,035","4,352",48.17,"1,236","5,967","1,716","7,679","4,171","1,590",38,51,"1,007,277",302,27,528,9.96,7.72,12.97,19.13,13.93,10.26,12.37,9,4.66,47.06,33.33,"4,229"
