駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
8069,穴生,"1,240","5,939","2,735",46.05,748,"3,806","1,355","5,108","2,853","1,205",42,70,"719,768",330,25,449,8.1,8.78,10.03,14.45,13.52,13.4,15.87,10.42,5.41,38.57,44.29,"2,391"
8070,森下,509,"2,510","1,158",46.14,347,"1,604",549,"2,334","1,116",401,36,13,"95,590",125,7,321,9,9,11.24,14.88,12.88,12.76,14.96,10.08,5.2,38.46,46.15,995
8071,今池,"1,443","4,365","2,050",46.96,829,"2,517","1,016","2,767","1,608",316,20,14,"139,259",81,4,329,12.59,10.87,6.72,14.65,14.24,10.34,15.34,10.2,5.07,35.71,50,751
8072,永犬丸,"1,385","5,096","2,401",47.12,763,"2,962","1,367","5,180","1,963",504,26,49,"497,202",238,25,"1,386",9.96,8.92,8.21,13.77,12.25,12.29,15.63,11.27,7.7,42.86,44.9,"1,546"
8073,三ケ森,"2,504","5,839","2,683",45.95,858,"3,453","1,519","4,798","2,407",678,28,97,"664,780",356,32,357,9.98,8.8,8.69,14.1,12.74,12.26,14.35,11.25,7.82,48.45,48.45,"1,928"
8074,西山,335,"5,096","2,253",44.21,509,"2,733","1,850","3,212","2,126",519,24,30,"96,701",131,6,23,6.25,7.42,7.33,10.19,9.54,13.83,17.77,16.04,11.63,36.67,60,536
8075,通谷,"2,062","4,501","2,050",45.55,433,"2,469","1,594","4,081","1,896",521,27,109,"960,474",212,16,0,6.4,6.83,8.38,10.78,9.87,13.5,17.72,15.3,11.21,58.72,38.53,"1,736"
8076,東中間,691,"4,673","2,122",45.41,568,"2,644","1,451","4,601","2,014",624,31,131,"1,487,126",281,25,0,7.81,8.43,8.94,11.47,10.34,12.59,17.31,13.51,9.61,63.36,32.82,"2,207"
8077,筑豊中間,947,"4,595","2,150",46.79,616,"2,702","1,271","3,892","1,931",555,29,48,"430,995",189,17,575,8.56,9.2,9.44,12.36,10.98,12.68,16.45,13.01,7.32,52.08,41.67,"1,181"
8078,希望が丘高校前,893,"3,598","1,691",47,360,"2,114","1,124","2,194","1,422",312,22,19,"102,055",67,2,198,6.31,8.4,8.15,10.04,10.37,15.24,20.02,13.54,7.93,21.05,63.16,314
8079,筑豊香月,645,"1,384",667,48.19,117,830,436,829,555,135,24,11,"60,336",49,1,0,5.72,6.44,10.06,10.78,11.51,13.82,18.6,14.4,8.68,18.18,54.55,226
8080,楠橋,465,"1,277",606,47.45,160,766,349,"1,034",524,151,29,11,"77,724",46,1,0,8.07,9.01,11.52,13.32,9.48,12.93,15.52,12.3,7.84,36.36,63.64,440
8081,木屋瀬,890,"2,958","1,366",46.18,457,"1,798",693,"2,465","1,142",317,28,34,"543,173",114,6,256,11.19,8.82,9.77,15.23,11.8,11.84,13.94,9.8,7.6,35.29,50,"1,061"
8082,遠賀野,366,"2,860","1,351",47.24,339,"1,759",754,"1,905","1,103",253,23,33,"740,866",82,5,0,7.64,8.69,10.59,11.39,11.29,14.83,16.96,11.92,6.69,24.24,75.76,638
8083,感田,345,"1,281",608,47.46,192,750,338,"1,401",507,122,24,9,"63,259",31,0,458,11.15,7.33,9.59,15.37,10.53,11.86,15.13,11.54,7.49,11.11,55.56,430
8084,筑豊直方,888,"1,948",879,45.12,198,"1,079",669,"3,496",851,303,36,80,"355,979",275,13,884,6.22,7.45,8.12,9.97,10.64,14.08,16.08,13.82,13.62,51.25,42.5,"1,762"
8085,南直方御殿口,54,"1,864",844,45.28,196,"1,017",652,"2,176",830,294,35,33,"56,305",153,5,215,6.92,7.13,8.31,9.87,10.83,12.98,17.16,15.66,11.15,36.36,48.48,"1,051"
8086,直方,"1,453","2,329","1,045",44.87,258,"1,359",711,"3,865","1,006",332,33,152,"664,650",457,35,351,7.74,7.61,8.86,10.92,11.52,14.19,14.7,12.85,11.61,58.55,38.16,"2,579"
8087,南直方御殿口,54,"1,864",844,45.28,196,"1,017",652,"2,176",830,294,35,33,"56,305",153,5,215,6.92,7.13,8.31,9.87,10.83,12.98,17.16,15.66,11.15,36.36,48.48,"1,051"
8088,あかぢ,34,835,389,46.59,121,510,204,580,313,74,24,3,"25,160",24,0,0,10.53,8.49,10.05,12.8,11.36,15.07,13.4,11.96,6.34,33.33,33.33,184
8089,藤棚,169,"1,841",868,47.15,171,"1,108",560,"1,422",721,229,32,11,"13,267",43,0,37,6.09,7.67,9.03,10.01,9.68,16.16,19.21,13.66,8.49,9.09,81.82,360
8090,中泉,93,698,337,48.28,79,420,197,702,293,87,30,7,"16,364",27,0,137,8.2,6.19,8.63,11.94,7.91,17.84,19.57,12.23,7.48,28.57,71.43,203
8091,市場,66,288,133,46.18,35,146,108,293,85,9,11,1,0,10,0,76,6.64,11.19,7.69,5.94,9.79,12.24,17.13,18.88,10.49,0,100,56
8092,ふれあい生力,199,"1,173",554,47.23,203,715,256,"1,217",447,94,21,7,"28,040",60,4,307,12.36,10.49,9.89,10.74,9.55,15.26,15.69,9.55,6.48,14.29,71.43,430
8093,赤池,312,"1,767",808,45.73,238,"1,043",486,"1,253",708,179,25,30,"198,035",72,4,0,8.43,9.62,8.6,10.8,10.35,14.93,16.46,10.52,10.29,53.33,40,414
8094,人見,144,"1,228",567,46.17,184,752,293,841,496,142,29,10,"22,436",37,0,0,9.13,10.02,9.86,12.22,10.02,14.34,17.44,9.29,7.66,60,30,234
8095,金田,766,"1,547",715,46.22,197,899,452,"1,633",615,171,28,48,"110,356",131,3,57,8.79,7.88,8.14,11.5,8.79,15.18,17.31,12.27,10.14,41.67,47.92,747
8096,上金田,187,"1,206",592,49.09,197,730,278,846,449,132,29,5,"19,343",41,0,0,10.36,10.95,8.62,12.44,12.27,14.34,14.1,10.95,5.97,20,60,193
8097,糒,145,984,463,47.05,175,580,228,779,385,109,28,4,"1,996",31,0,0,13.29,9.94,10.14,11.76,10.34,14.3,11.56,11.76,6.9,25,50,362
8098,田川市立病院,172,944,451,47.78,209,581,154,696,347,82,24,6,"18,149",29,3,24,16.76,10.92,8.7,15.91,12.09,12.2,11.56,7.74,4.14,50,50,347
8099,下伊田,248,"1,349",626,46.4,198,791,360,"1,194",638,268,42,20,"441,129",65,9,29,9.86,8.97,10.16,13.94,10.01,11.49,16.09,13.27,6.23,20,50,585
8100,田川伊田,738,"2,204",960,43.56,258,"1,319",626,"3,370","1,069",463,43,132,"422,257",433,28,376,7.67,9.12,11.89,11.93,9.75,12.21,15.79,12.52,9.12,59.09,38.64,"2,149"
8101,勾金,354,"1,154",507,43.93,135,666,353,"1,025",501,152,30,11,"17,546",27,2,129,7.55,9.54,8.15,9.45,10.06,15.18,17.35,13.7,9.02,18.18,72.73,240
8102,柿下温泉口,27,546,244,44.69,69,309,168,407,215,58,27,1,"1,025",7,0,95,8.59,9.32,9.32,8.41,9.14,16.82,14.63,12.43,11.33,0,100,37
8103,内田,40,297,141,47.47,27,178,101,221,99,29,29,0,175,4,0,0,6.27,7.26,10.56,8.91,6.93,19.14,14.19,12.54,14.19,0,0,51
8104,油須原,111,295,136,46.1,42,173,81,217,116,29,25,2,"13,382",11,1,21,9.8,7.43,7.43,14.86,6.42,15.2,18.92,10.47,9.46,50,100,53
8105,源じいの森,56,108,51,47.22,12,64,34,100,45,14,31,1,0,9,4,0,4.55,11.82,10,9.09,10,12.73,19.09,17.27,5.45,0,0,51
8106,崎山,55,119,50,42.02,15,53,51,81,44,12,27,0,0,2,0,0,6.72,8.4,3.36,6.72,14.29,10.08,20.17,21.01,9.24,0,0,6
8107,犀川,346,911,422,46.32,114,520,283,"1,175",330,73,22,32,"135,152",92,3,321,7.3,9.69,7.73,12.42,10.13,13.29,15.25,12.96,11.22,37.5,53.13,468
8108,東犀川三四郎,64,198,91,45.96,13,116,68,126,67,11,16,1,"2,298",6,0,0,3.03,8.08,8.59,7.07,11.11,16.16,19.19,16.16,10.61,0,0,24
8109,新豊津,311,161,78,48.45,16,98,47,117,62,18,29,1,"4,175",7,2,0,6.17,8.02,7.41,13.58,11.73,16.67,16.67,11.73,8.02,100,0,34
8110,豊津,78,307,134,43.65,33,168,106,223,118,28,24,5,"15,000",12,0,0,5.88,10.46,4.58,8.5,13.73,13.07,18.95,15.36,9.48,40,60,55
8111,今川河童,56,749,356,47.53,104,468,169,689,294,86,29,3,"37,660",32,0,74,9.04,9.85,9.85,14.04,11.2,12.69,19.16,9.18,4.99,33.33,66.67,287
8112,美夜古泉,135,"1,274",633,49.69,207,787,278,"1,296",505,142,28,4,"29,692",39,1,296,11.31,9.74,10.92,15.71,11.63,11.08,14.85,9.9,4.87,50,75,468
8113,行橋,837,"3,392","1,551",45.73,410,"2,105",865,"5,127","1,608",714,44,143,"940,655",651,59,29,8.73,6.93,10.45,15.92,12.31,12.04,13.91,10.3,9.41,57.34,40.56,"3,821"
8114,金田,277,"1,547",715,46.22,197,899,452,"1,633",615,171,28,48,"110,356",131,3,57,8.79,7.88,8.14,11.5,8.79,15.18,17.31,12.27,10.14,41.67,47.92,747
8115,豊前大熊,67,"1,233",533,43.23,172,629,432,995,459,148,32,7,"17,714",38,0,0,8.83,9.88,8.1,9.07,9.31,13.04,13.28,13.2,15.3,28.57,42.86,231
8116,松山,30,"1,049",480,45.76,138,592,320,719,397,119,30,4,"3,702",20,0,0,8.58,8.87,8.29,10.87,9.53,14.87,15.25,12.77,10.96,50,50,133
8117,糸田,198,"2,262","1,010",44.65,262,"1,307",693,"2,150",980,313,32,27,"89,391",70,3,552,7.26,8.27,9.96,10.22,8.76,15.22,17.39,14.38,8.54,33.33,44.44,401
8118,大藪,231,"1,725",785,45.51,243,"1,029",451,"2,607",757,263,35,44,"955,047",137,13,488,9.12,9.64,9.58,12.08,9.64,14.92,16.09,12.25,6.68,36.36,50,"1,341"
8119,田川後藤寺,505,"2,414","1,082",44.82,310,"1,366",734,"2,917","1,084",386,36,94,"415,145",247,18,426,8.63,8.22,8.71,11.37,11.24,12.74,15.35,13.82,9.92,50,43.62,"1,395"
8120,田川伊田,738,"2,198",962,43.77,260,"1,310",627,"3,310","1,064",455,43,129,"416,652",424,28,351,7.7,8.97,11.66,11.94,9.75,12.3,15.99,12.57,9.11,58.91,38.76,"2,108"
8121,上伊田,79,"1,302",584,44.85,160,808,330,"1,007",595,227,38,9,"17,047",42,3,253,7.86,10.32,10.17,11.79,11.71,14.71,14.48,11.09,7.86,33.33,55.56,143
8122,勾金,354,"1,154",507,43.93,135,666,353,"1,025",501,152,30,11,"17,546",27,2,129,7.55,9.54,8.15,9.45,10.06,15.18,17.35,13.7,9.02,18.18,72.73,240
8123,柿下温泉口,27,546,244,44.69,69,309,168,407,215,58,27,1,"1,025",7,0,95,8.59,9.32,9.32,8.41,9.14,16.82,14.63,12.43,11.33,0,100,37
8124,内田,40,295,138,46.78,27,178,100,221,101,31,31,0,44,4,0,0,6.49,7.14,10.39,9.42,7.14,19.16,13.64,12.66,13.96,0,0,55
8125,赤,56,222,100,45.05,29,138,56,312,77,22,29,1,910,11,0,100,10.27,7.14,10.71,14.73,7.14,14.29,19.2,9.38,7.14,0,0,96
8126,油須原,111,296,136,45.95,42,173,81,216,116,29,25,2,"13,074",11,1,20,9.8,7.43,7.43,14.86,6.42,15.2,18.92,10.47,9.46,50,100,53
8127,源じいの森,56,108,51,47.22,12,64,34,101,45,14,31,1,0,10,5,0,4.59,11.93,10.09,9.17,10.09,12.84,19.27,16.51,5.5,0,0,52
8128,崎山,55,118,50,42.37,15,53,51,80,44,12,27,0,0,2,0,0,6.78,8.47,3.39,6.78,14.41,10.17,20.34,20.34,9.32,0,0,6
8129,犀川,346,901,418,46.39,113,515,278,"1,155",326,72,22,32,"132,494",91,3,311,7.3,9.73,7.63,12.39,10.29,13.27,15.27,12.94,11.17,37.5,53.13,463
8130,東犀川三四郎,64,198,91,45.96,13,116,68,126,67,11,16,1,"2,298",6,0,0,3.03,8.08,8.59,7.07,11.11,16.16,19.19,16.16,10.61,0,0,24
8131,新豊津,311,162,78,48.15,16,99,48,117,62,18,29,1,"4,064",7,2,0,6.13,7.98,7.36,13.5,11.66,16.56,16.56,12.27,7.98,100,0,34
8132,豊津,78,304,133,43.75,32,167,105,221,117,28,24,5,"14,710",11,0,0,5.61,10.56,4.62,8.58,13.53,13.2,19.14,15.18,9.57,40,60,54
8133,今川河童,56,749,356,47.53,104,468,169,689,294,86,29,3,"37,660",32,0,74,9.04,9.85,9.85,14.04,11.2,12.69,19.16,9.18,4.99,33.33,66.67,287
8134,美夜古泉,135,"1,290",643,49.84,210,799,280,"1,278",511,145,28,4,"27,677",39,1,276,11.32,9.69,11.01,15.74,11.63,11.09,14.81,9.92,4.81,50,75,464
8135,行橋,837,"3,362","1,555",46.25,417,"2,103",829,"4,879","1,592",709,45,132,"901,352",607,57,2,9.05,6.93,10.85,16.49,12.34,11.86,13.5,9.92,9.05,57.58,40.91,"3,653"
