index,駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
1,二川,"5,168","2,703","1,350",49.94,423,"1,781",460,"1,661","1,106",403,36,19,"161,549",90,5,0,10.7,8.97,12.42,18.02,12.8,12.31,12.16,7.17,5.44,52.63,31.58,822
2,豊橋,"52,992","3,942","1,894",48.05,348,"2,311","1,196","12,020","1,856",815,44,350,"3,454,286","1,193",113,412,5.91,6.43,8.98,11.83,12.79,13.41,16.86,14.11,9.68,65.14,32.86,"10,284"
3,西小坂井,"2,572","2,955","1,446",48.93,394,"1,802",753,"2,215","1,079",259,24,37,"279,343",132,10,237,8.95,9.05,8.85,14.21,14.14,11.29,15.87,11.73,5.9,48.65,45.95,878
4,愛知御津,"2,638","3,006","1,448",48.17,456,"1,876",642,"2,342","1,075",285,27,43,"190,823",174,9,551,9.62,10.36,10.79,13.72,13.58,12.74,13.69,9.58,5.92,48.84,39.53,830
5,三河大塚,"2,528","1,514",752,49.67,202,990,320,"1,116",494,91,18,9,"41,526",78,5,53,8.8,10.52,9.86,13.37,14.76,13.24,14.76,9.86,4.83,55.56,44.44,503
6,三河三谷,"3,940","4,219","2,029",48.09,514,"2,571","1,122","3,111","1,547",408,26,52,"263,456",252,19,354,7.58,9.36,10.1,12.31,13.05,12.45,15.9,12.17,7.08,36.54,46.15,"1,383"
7,蒲郡,"14,386","2,910","1,388",47.7,359,"1,750",788,"4,669","1,189",368,31,98,"889,311",431,44,166,8.56,7.56,10.32,14.61,12.29,12.05,15.12,11.84,7.63,59.18,35.71,"3,535"
8,三河塩津,"2,674","1,876",942,50.21,274,"1,191",398,"1,773",677,193,29,21,"352,539",103,11,625,8.95,10.83,12.76,14.53,13.35,10.56,14.16,9.92,4.93,23.81,38.1,610
9,三ケ根,"2,420","1,883",937,49.76,260,"1,269",351,"1,692",664,151,23,13,"75,523",100,8,334,9.41,9.26,13.35,15.9,13.14,13.03,12.87,8.24,4.79,46.15,38.46,781
10,幸田,"7,586","2,900","1,466",50.55,409,"2,033",453,"1,910","1,160",419,36,35,"122,700",163,11,162,9.68,10.37,14.76,15,15.76,12.58,10.89,7.6,3.35,54.29,37.14,955
11,岡崎,"33,066","4,335","2,155",49.71,648,"2,874",788,"3,335","1,770",593,34,65,"386,599",260,19,20,10.54,9.12,12.28,17.17,15.6,11.02,11.14,8.68,4.46,46.15,44.62,"2,045"
12,西岡崎,"3,434","3,863","1,932",50.01,664,"2,720",472,"2,715","1,484",441,30,22,"218,105",153,13,533,11.59,10.76,15.35,18.46,14.54,10.22,11.85,4.61,2.62,50,31.82,"1,017"
13,安城,"21,520","6,293","3,098",49.23,"1,004","4,103","1,139","5,805","2,580",817,32,116,"750,284",444,39,515,11.51,8.84,10.49,18.43,14.84,11.58,11.24,8.18,4.9,62.07,31.03,"3,597"
14,三河安城,"10,832","4,145","2,249",54.26,751,"3,063",279,"4,983","1,942",927,48,25,"658,624",225,18,24,11.85,11.92,14.48,20.2,20.35,10.09,6.6,2.74,1.78,36,40,"3,847"
15,東刈谷,"10,219","7,433","3,802",51.15,"1,196","5,229",954,"4,380","3,036",971,32,63,"924,087",269,24,229,10.53,11.15,13.04,17.08,16.29,11.98,11.76,5.62,2.55,46.03,42.86,"1,934"
16,刈谷,"56,142","3,320","1,707",51.42,439,"2,312",514,"7,936","1,539",642,42,59,"648,197",409,43,261,9.38,7.6,14.77,19.06,14.89,11.95,11.19,7.45,3.71,57.63,35.59,"6,753"
17,逢妻,"3,939","4,017","2,061",51.31,610,"2,688",707,"3,398","1,591",457,29,33,"480,806",157,17,606,10.27,9.57,12.82,18.26,14.76,9.87,12.62,7.34,4.5,51.52,33.33,"1,467"
18,大府,"25,424","4,015","2,002",49.86,655,"2,699",644,"3,948","1,653",513,31,55,"367,369",252,21,68,11.73,8.65,10.78,21.61,15.28,10.3,10.38,7.4,3.88,56.36,38.18,"2,778"
19,共和,"15,946","5,169","2,726",52.74,734,"3,679",741,"5,053","2,356",976,41,75,"1,086,237",320,33,441,9.47,9.96,14.77,18.44,14.5,11.51,12.5,6.27,2.58,64,26.67,"3,240"
20,大高,"11,366","4,252","2,075",48.8,530,"2,700","1,000","3,015","1,684",462,27,34,"241,234",194,14,162,8.16,8.51,11.65,14.61,12.79,12.39,14.94,10.26,6.69,52.94,32.35,"1,322"
