index,駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
1,二川,"5,168","24,584","12,173",49.52,"3,702","15,746","4,998","18,878","8,775","2,304",26.26,130,"1,906,233",697,43,"1,696",9.73,10.08,10.65,15.48,13.08,12.15,14.77,8.45,5.6,44.62,42.31,"8,498"
2,豊橋,"52,992","69,071","34,155",49.45,"8,991","43,453","15,685","79,458","28,861","10,308",35.72,"1,270","13,391,610","5,752",466,"8,464",8.58,9.18,10.79,14.41,13.73,12.69,13.67,10.46,6.5,55.2,35.51,"47,826"
3,西小坂井,"2,572","24,971","12,346",49.44,"3,433","15,629","5,797","20,670","8,603","1,718",19.97,168,"1,816,985",899,50,"3,229",8.98,9.64,10.24,13.97,12.89,12.7,15.23,10.52,5.84,41.67,41.07,"8,607"
4,愛知御津,"2,638","15,983","7,778",48.66,"2,299","9,850","3,763","12,088","5,345","1,089",20.37,124,"770,083",689,27,"1,487",9.4,9.52,10.95,14,12.14,12.61,14.39,10.14,6.85,42.74,41.13,"4,728"
5,三河大塚,"2,528","7,900","4,085",51.71,"1,232","4,884","1,765","7,557","2,455",517,21.06,87,"688,498",350,30,"1,926",7.98,15.78,9.45,12.7,12.07,11.88,13.92,9.33,6.9,57.47,32.18,"2,935"
6,三河三谷,"3,940","27,400","13,240",48.32,"3,507","16,873","6,933","23,779","9,957","2,573",25.84,324,"2,795,390","1,600",117,"2,999",8.07,9.74,10.26,13.07,13.2,12.21,15.1,11.68,6.67,43.21,45.06,"11,624"
7,蒲郡,"14,386","31,325","15,438",49.28,"4,189","19,514","7,454","32,346","11,631","3,113",26.76,465,"4,628,747","2,201",160,"3,661",8.81,9.5,11.1,13.69,13.43,11.83,14.49,10.95,6.18,47.53,40.65,"18,466"
8,三河塩津,"2,674","17,203","8,668",50.39,"2,291","10,908","3,852","19,576","6,365","1,867",29.33,183,"2,669,093",993,64,"2,631",8.88,9.98,12.21,14.22,13.28,11.39,14.15,10.23,5.66,37.16,38.8,"11,545"
9,三ケ根,"2,420","6,413","3,190",49.74,921,"4,161","1,327","7,380","2,128",393,18.47,31,"198,278",268,16,"1,484",8.99,10.74,11.33,14.61,13.34,11.88,15.31,8.96,4.85,41.94,32.26,"3,940"
10,幸田,"7,586","19,451","9,792",50.34,"3,420","13,035","2,982","17,940","6,768","1,673",24.72,128,"1,242,778",720,53,"1,901",11.99,10.61,12.66,17.34,13.98,11.26,11.83,6.54,3.78,43.75,39.84,"10,450"
11,岡崎,"33,066","70,379","35,231",50.06,"11,343","48,367","10,389","54,343","26,666","7,134",26.75,596,"11,589,368","2,537",241,"7,647",10.49,11.2,12.63,16.54,15.44,12.42,11.17,6.52,3.6,49.33,35.74,"25,709"
12,西岡崎,"3,434","21,416","10,739",50.14,"3,364","14,084","3,931","16,283","7,549","1,769",23.43,71,"658,589",649,41,"1,542",10.48,10.01,13.41,16.02,13.14,11.29,13.65,7.46,4.53,32.39,38.03,"7,617"
13,安城,"21,520","55,566","28,181",50.72,"8,997","37,404","8,869","50,663","21,790","6,605",30.31,534,"7,054,446","2,551",235,"9,999",10.9,10.55,12.17,16.91,15.72,11.3,11.44,7.28,3.72,55.99,30.52,"24,522"
14,三河安城,"10,832","49,607","25,874",52.16,"8,604","34,605","6,108","43,559","19,865","6,643",33.44,284,"7,332,865","1,680",141,"5,305",11.49,11.42,13.38,18.01,16.41,10.63,10.66,5.32,2.68,42.96,33.8,"24,192"
15,東刈谷,"10,219","54,512","28,598",52.46,"8,864","37,883","7,470","40,988","21,883","7,433",33.97,252,"4,881,831","1,544",139,"5,757",10.49,11.45,13.32,17.38,15.93,10.9,11.68,5.86,2.98,40.48,42.06,"19,163"
16,刈谷,"56,142","51,458","26,397",51.3,"7,894","34,518","8,714","77,145","20,619","6,925",33.59,523,"7,838,107","2,619",242,"6,496",10.42,9.73,13.7,17.03,14.64,10.96,11.61,7.62,4.28,49.9,38.81,"54,143"
17,逢妻,"3,939","38,405","20,096",52.33,"5,762","25,962","6,415","62,835","15,962","5,727",35.88,492,"6,929,629","2,252",208,"5,365",10.15,9.66,15.05,16.76,14.33,10.89,11.39,7.59,4.17,51.83,36.99,"45,234"
18,大府,"25,424","45,578","23,431",51.41,"7,949","29,780","7,748","37,615","17,710","4,995",28.2,268,"3,617,795","1,382",113,"4,981",12.02,9.98,12.11,18.35,14.06,9.79,12.29,7.72,3.68,44.78,40.3,"18,798"
19,共和,"15,946","44,341","22,790",51.4,"7,542","29,456","7,209","39,863","17,831","5,583",31.31,270,"5,856,743","1,680",137,"5,038",11.98,9.91,12.67,18.84,13.45,9.92,13.04,7.23,2.95,45.93,35.93,"21,917"
20,大高,"11,366","55,316","27,623",49.94,"7,669","35,868","11,394","53,393","22,207","6,428",28.95,375,"4,818,461","2,842",195,"5,409",9.4,9.08,11.92,15.91,13.01,12.08,14.28,9.39,4.93,46.67,36,"29,429"
21,笠寺,"13,452","88,548","44,876",50.68,"10,415","55,803","21,471","89,812","38,302","13,986",36.52,698,"9,739,025","4,437",413,"11,197",7.54,8.85,11.32,13.52,12.96,12.87,15.83,11.24,5.87,49.86,38.4,"46,019"
22,熱田,"5,594","107,353","52,971",49.34,"11,002","69,283","25,376","157,915","51,426","23,250",45.21,"1,272","19,409,182","8,225",801,"22,410",6.92,7.51,12.56,14.77,13.36,12.77,14.66,10.62,6.83,55.5,37.66,"100,539"
23,金山,"112,000","115,145","56,120",48.74,"10,897","74,948","24,159","169,319","60,185","31,705",52.68,"1,744","25,322,791","10,745","1,040","13,141",6.68,7.08,14.21,15.87,13.74,12.71,13.92,9.91,5.87,61.12,32.51,"123,568"
24,尾頭橋,"5,944","111,011","54,735",49.31,"10,652","72,261","23,126","160,769","58,268","31,090",53.36,"1,628","20,379,213","10,415",979,"12,531",6.79,7.09,14.33,16.16,13.62,12.5,13.9,9.93,5.68,60.26,33.35,"116,697"
25,名古屋,"397,008","108,280","54,284",50.13,"8,649","69,500","25,394","356,806","60,362","35,704",59.15,"2,252","54,814,813","19,613","1,790","21,816",5.54,6.73,15.28,15.15,13.3,12.02,13.99,11.24,6.75,57.95,37.61,"302,587"
