index,駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
5000,西船橋,"280,011","130,875","67,574",51.63,"17,040","91,635","19,456","82,751","62,581","27,495",43.94,545,"8,554,446","3,036",242,"10,897",9.27,8.01,14.06,19.66,16.1,11.28,11.61,6.63,3.4,41.28,50.28,"33,532"
5001,本八幡,"69,927","154,085","76,577",49.7,"16,480","99,482","31,541","114,999","73,595","31,036",42.17,"1,367","14,925,919","5,888",558,"18,614",7.31,8.04,12.06,16.27,15.4,11.95,14.31,9.92,4.75,52.96,42.14,"48,719"
5002,川間,"17,322","42,452","21,081",49.66,"6,228","27,281","8,869","28,601","16,004","3,368",21.04,157,"2,080,877",903,69,"4,717",9.89,9.37,10.01,15.72,12.1,12.22,18.36,8.83,3.51,43.31,47.13,"9,540"
5003,七光台,"6,387","29,958","14,930",49.84,"4,786","19,082","6,042","20,886","11,077","2,243",20.25,121,"1,786,423",730,62,"3,545",11.08,9.36,9.7,17.06,11.85,11.55,17.15,8.53,3.72,42.98,42.15,"7,783"
5004,清水公園,"4,208","35,733","17,671",49.45,"5,435","22,073","8,152","30,100","13,161","3,100",23.55,347,"3,212,870","1,431",120,"4,557",10.61,8.99,9.62,15.52,12.68,11.59,15.15,10.39,5.44,51.01,39.19,"13,760"
5005,愛宕,"9,487","44,368","21,895",49.35,"5,831","27,554","10,900","36,728","16,698","4,005",23.98,467,"5,474,533","1,856",157,"4,011",8.65,9.04,10.03,13.88,12.86,12.34,16.28,11.32,5.59,51.39,39.4,"16,983"
5006,野田市,"10,361","47,660","23,517",49.34,"6,322","29,937","11,311","39,254","18,021","4,337",24.07,496,"5,927,089","1,925",160,"4,739",8.4,9.74,10.2,13.71,13.39,12.44,15.88,10.99,5.25,51.01,39.31,"17,654"
5007,梅郷,"16,485","39,868","20,546",51.54,"5,241","26,596","7,822","28,543","16,385","5,497",33.55,186,"3,661,634",976,68,"4,332",8.54,9.98,14.14,14.55,12.49,12.18,15.5,8.79,3.84,40.32,40.86,"11,490"
5008,運河,"21,232","48,663","25,075",51.53,"5,749","32,080","10,548","39,407","20,526","7,424",36.17,211,"2,632,754","1,135",78,"11,948",7.81,9.3,15.2,13.31,11.47,12.29,15.85,9.18,5.57,38.86,46.45,"11,398"
5009,江戸川台,"24,446","71,021","35,266",49.66,"8,971","45,406","16,441","44,604","27,618","6,998",25.34,307,"3,113,276","1,532",126,"6,974",8.33,9.08,11.24,14.34,12.69,12.2,16.73,10.23,5.16,44.3,47.88,"12,079"
