index,駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
961,誕生寺,90,"1,710",834,48.77,204,939,562,"1,833",614,127,20.68,22,"42,613",75,3,357,7.21,11.25,6.15,9.14,9.03,14.3,16.41,14.24,12.25,40.91,36.36,648
962,小原,54,"1,922",944,49.12,244,"1,117",558,"1,763",657,131,19.94,16,"37,089",76,1,374,7.88,11.22,7.1,10.65,9.92,14.2,15.92,12.21,10.91,43.75,31.25,479
963,亀甲,494,"2,763","1,332",48.21,409,"1,678",681,"2,812",947,199,21.01,31,"211,328",170,8,313,10.22,9,10.77,13.91,10.55,13.29,13.87,11.31,7.08,35.48,41.94,"1,513"
964,佐良山,40,"2,487","1,188",47.77,319,"1,424",746,"2,550",865,175,20.23,14,"17,964",131,4,358,7.95,9.52,7.87,10.96,11.33,13.29,15.46,13.45,10.16,21.43,28.57,"1,023"
965,津山口,44,"16,595","7,822",47.13,"2,004","9,652","4,814","20,825","6,618","2,237",33.8,326,"2,854,285","1,587",109,"1,727",8.17,8.21,8.68,12.35,10.81,13.58,15.91,12.62,9.68,51.53,36.2,"11,920"
966,津山,"4,244","17,476","8,095",46.32,"1,758","9,925","5,674","27,302","7,370","2,841",38.55,416,"3,111,744","1,960",143,"4,645",6.47,10.37,8.08,10.63,10.22,12.75,16.02,14.17,11.3,53.85,37.02,"14,921"
967,岡山,"118,464","84,295","40,110",47.58,"8,471","55,085","17,565","154,666","47,361","28,402",59.97,"1,874","24,627,830","9,571",995,"24,359",6.9,9.03,17.35,13.96,12.97,11.42,12.14,9.31,6.91,63.93,32.07,"105,467"
968,備前三門,"1,878","59,869","28,878",48.24,"7,102","38,809","12,441","85,360","30,395","16,167",53.19,817,"9,948,353","4,109",369,"17,409",8.06,9.67,16.21,14.4,12.89,11.07,11.74,9.26,6.7,55.81,35.74,"48,608"
969,大安寺,602,"41,075","19,885",48.41,"5,930","26,179","8,217","43,043","18,381","7,719",41.99,348,"5,817,471","2,020",121,"7,190",10.35,8.63,13.4,17.48,12.72,10.53,12.02,8.79,6.09,43.68,33.91,"21,871"
970,備前一宮,"1,750","16,977","8,018",47.23,"2,610","10,005","4,309","12,192","6,142","1,217",19.81,100,"1,429,663",450,23,"1,666",10.12,9.88,8.58,13.94,12.37,11.22,16.21,11.1,6.58,37,43,"3,777"
971,吉備津,"1,110","13,161","6,277",47.69,"2,070","7,943","3,117","7,690","4,547",741,16.3,55,"307,633",248,16,"1,120",10.43,10.28,8.91,14.09,12.41,12.12,15.4,10.37,5.98,32.73,40,"1,795"
972,備中高松,"2,582","11,592","5,500",47.45,"1,800","6,940","2,791","8,204","3,860",666,17.25,65,"618,487",252,9,"2,074",9.5,11.69,8.55,12.67,13.1,12.16,15.36,9.53,7.44,41.54,40,"2,042"
973,足守,"1,140","8,196","3,876",47.29,"1,302","4,912","1,937","6,534","2,695",487,18.07,39,"380,774",195,6,"1,367",9.68,11.88,9.03,12.33,13.55,12.16,14.06,9.47,7.83,51.28,35.9,"2,121"
974,服部,"1,560","8,932","4,295",48.09,"1,162","5,526","2,198","7,950","3,230",930,28.79,59,"1,056,324",209,10,"2,258",8.35,10.16,11.92,12.01,10.76,13.21,15.79,10.59,7.21,42.37,32.2,"2,323"
975,東総社,"1,622","29,464","14,287",48.49,"4,617","18,937","5,771","26,662","11,538","3,613",31.31,332,"4,111,892","1,102",73,"5,214",10.61,10.06,12.22,15.36,11.9,12.02,14.03,8.43,5.37,53.92,34.64,"10,946"
976,総社,"6,196","27,069","13,139",48.54,"4,503","17,385","5,057","28,052","10,526","3,265",31.02,308,"3,338,452","1,102",69,"4,648",11.49,10.2,12.21,16.46,12.25,11.33,12.77,8.11,5.17,54.55,34.74,"13,856"
977,岡山,"118,464","84,295","40,110",47.58,"8,471","55,085","17,565","154,666","47,361","28,402",59.97,"1,874","24,627,830","9,571",995,"24,359",6.9,9.03,17.35,13.96,12.97,11.42,12.14,9.31,6.91,63.93,32.07,"105,467"
978,大元,"3,058","82,507","39,836",48.28,"10,642","54,804","14,283","113,458","43,023","23,073",53.63,"1,053","17,348,851","6,947",607,"12,034",9.33,8.1,14.86,17.8,14.39,11.32,11.28,7.75,5.17,55.75,33.43,"77,066"
979,備前西市,"2,668","63,531","31,258",49.2,"10,639","42,813","9,316","57,702","27,947","10,984",39.3,482,"10,393,398","3,161",202,"6,735",11.74,9.7,12.82,19.34,14.56,10.87,10.88,6.39,3.7,47.51,35.27,"31,702"
980,妹尾,"6,012","29,311","14,072",48.01,"4,344","18,850","6,112","21,333","10,266","1,873",18.24,189,"3,219,773",803,40,"3,434",9.56,10.53,9.88,14.25,12.33,13.56,15.46,8.61,5.84,37.57,43.92,"7,668"
981,備中箕島,294,"21,521","10,335",48.02,"3,086","13,667","4,749","17,225","7,478","1,400",18.72,153,"1,533,880",687,35,"2,968",8.85,11,9.69,13.39,12.6,13.64,15.43,9.38,6.03,38.56,41.83,"6,415"
982,早島,"2,092","19,421","9,321",47.99,"3,222","11,914","4,218","14,090","6,534","1,198",18.33,120,"819,443",598,33,"1,474",11.17,10.26,9.62,15.44,12.05,11.57,14.58,9.17,6.14,35.83,38.33,"5,486"
983,久々原,108,"24,318","11,710",48.15,"4,403","14,888","4,835","16,887","8,500","1,613",18.98,152,"1,141,631",762,38,"3,107",12.43,10.67,9.62,16.42,13.13,10.82,13.02,8.74,5.14,42.11,39.47,"5,461"
984,茶屋町,"7,210","24,280","11,724",48.29,"4,453","14,837","4,778","15,347","8,579","1,560",18.18,101,"979,460",587,32,"2,793",12.82,10.42,9.54,16.56,12.94,10.83,13.43,8.8,4.67,41.58,43.56,"4,155"
985,彦崎,562,"10,000","4,799",47.99,"1,603","5,989","2,396","6,451","3,257",465,14.28,43,"282,381",253,11,573,10.01,10.75,7.79,14.3,12.66,11.5,16.05,9.69,7.25,39.53,34.88,"1,943"
986,備前片岡,502,"6,121","2,868",46.86,767,"3,686","1,668","4,299","1,960",259,13.21,40,"118,570",178,9,908,7.37,10.19,8.46,12.27,11.99,13.3,16.73,10.65,9.03,40,42.5,"1,080"
987,迫川,514,"10,779","5,136",47.65,"1,265","6,926","2,586","7,340","3,702",528,14.26,88,"656,710",347,28,916,6.92,10.14,9.75,11.43,12.21,16.06,16.93,10.02,6.56,43.18,44.32,"2,596"
988,常山,832,"10,398","4,960",47.7,"1,256","6,639","2,504","6,373","3,632",583,16.05,78,"629,350",316,24,35,7.18,10.07,9.87,12.07,12.13,15.21,16.38,10.22,6.88,39.74,44.87,"2,488"
989,八浜,788,"5,574","2,671",47.92,691,"3,572","1,311","4,184","1,975",387,19.59,23,"81,007",126,5,776,7.73,10.94,10.42,12.86,12.2,13.69,15.01,10.35,6.8,39.13,30.43,"1,221"
990,備前田井,546,"9,498","4,684",49.32,"1,193","5,769","2,533","7,483","3,840","1,098",28.59,82,"471,313",303,15,"1,495",7.77,9.77,10.22,12.98,11.52,12.05,17,11.64,7.06,30.49,50,"2,177"
991,宇野,"2,376","9,946","4,856",48.82,929,"5,673","3,344","13,307","4,440","1,693",38.13,218,"1,845,677",844,69,"2,348",5.76,8.4,9.85,10.09,9.72,12.88,18.29,13.6,11.4,48.17,40.83,"6,511"
992,備中神代,54,635,305,48.03,74,320,249,703,196,33,16.84,10,"9,801",45,4,72,7.45,9.01,4.81,9.63,11.18,13.2,14.29,16.15,14.29,30,60,292
993,坂根,4,415,204,49.16,55,220,149,330,118,25,21.19,6,0,14,1,5,8.08,10.69,6.18,8.31,10.21,12.11,15.2,15.2,14.01,33.33,66.67,73
994,市岡,20,617,277,44.89,73,300,254,553,217,47,21.66,11,"13,157",31,1,80,5.57,10.67,4.94,6.05,10.51,13.22,15.61,16.4,17.04,9.09,54.55,133
995,矢神,34,821,385,46.89,83,413,330,934,286,59,20.63,15,"25,484",70,1,140,5.33,9.2,5.57,7.75,9.32,14.77,15.13,18.52,14.41,40,46.67,343
996,野馳,46,"1,197",534,44.61,139,619,440,"1,136",397,86,21.66,18,"5,590",65,2,148,8.69,7.27,6.18,10.61,9.11,13.03,13.12,16.12,15.87,38.89,27.78,455
997,茶屋町,"7,210","24,280","11,724",48.29,"4,453","14,837","4,778","15,347","8,579","1,560",18.18,101,"979,460",587,32,"2,793",12.82,10.42,9.54,16.56,12.94,10.83,13.43,8.8,4.67,41.58,43.56,"4,155"
998,植松,298,"12,185","5,828",47.83,"1,917","7,355","2,881","9,269","4,050",626,15.46,67,"398,742",333,17,"2,057",9.92,10.52,8.28,14.21,12.41,12.03,15.87,9.7,7.05,40.3,40.3,"2,561"
999,木見,388,"7,062","3,416",48.37,980,"4,386","1,662","5,589","2,492",556,22.31,45,"250,749",265,15,861,8.55,10.78,10.02,13.37,12.58,12.43,15.76,9.96,6.54,33.33,51.11,"2,115"
1000,上の町,868,"23,770","11,266",47.4,"3,438","14,338","5,778","17,908","8,741","2,061",23.58,136,"1,026,454",802,29,"2,589",9.01,10.6,9.16,13.96,12.07,11.57,16.92,10.98,5.73,36.76,44.12,"6,682"
1001,児島,"8,248","20,167","9,682",48.01,"2,703","12,134","5,117","20,750","7,731","2,163",27.98,353,"3,504,097","1,379",117,"2,638",8.82,9.23,9.39,14.04,11.91,12,15.89,11.3,7.42,53.26,33.99,"10,818"
1002,赤嶺,"3,561","63,300","31,583",49.89,"12,094","42,336","8,471","54,673","23,313","6,752",28.96,427,"5,645,646","2,413",152,"9,042",12.86,12.54,13.09,15.92,14.87,12.21,8.52,6.57,3.41,45.43,44.03,"23,729"
1003,小禄,"6,671","80,259","39,444",49.15,"14,650","53,537","11,426","79,611","30,839","9,772",31.69,580,"6,616,404","3,741",224,"10,963",12.28,12.24,12.93,15.61,14.68,12.61,9,7.02,3.64,45.34,45.52,"40,703"
1004,奥武山公園,"3,488","101,191","48,747",48.17,"16,759","66,605","16,604","128,027","41,572","14,917",35.88,"1,332","11,861,773","7,820",498,"18,678",10.9,11.88,12.26,14.76,14.44,13.37,9.9,8.1,4.4,52.03,42.49,"72,696"
1005,那覇空港,"9,670","18,808","9,629",51.2,"3,237","13,351","2,028","28,846","7,017","2,332",33.23,193,"3,686,863","1,172",94,"3,677",10.92,13.32,15.88,15.25,15.72,13.12,7.93,5.26,2.6,50.78,40.93,"19,429"
1006,壺川,"3,709","108,972","52,007",47.73,"16,278","71,332","19,547","152,022","47,385","18,941",39.97,"2,421","14,591,845","11,557",770,"20,983",9.85,11.12,12.19,14.31,14.06,14.06,10.58,8.82,5.02,56.51,40.07,"90,805"
1007,旭橋,"5,736","88,769","42,101",47.43,"12,147","58,017","16,825","140,414","40,316","17,259",42.81,"2,349","13,669,591","11,323",764,"17,413",9.02,10.47,12.14,14.04,13.88,14.51,11.27,9.29,5.38,57.09,39.63,"90,039"
1008,県庁前,"10,938","94,874","44,835",47.26,"12,622","61,681","18,534","146,141","43,599","19,072",43.74,"2,447","13,468,063","11,912",794,"17,033",8.78,10.22,12.05,13.95,13.78,14.56,11.47,9.56,5.64,56.07,40.74,"93,457"
1009,美栄橋,"4,802","105,280","49,675",47.18,"14,428","68,275","20,221","157,688","48,522","21,487",44.28,"2,624","17,227,213","12,563",839,"17,574",9.29,9.86,11.92,14.77,13.92,14.14,11.12,9.33,5.65,56.52,40.4,"101,054"
1010,牧志,"5,765","138,021","65,263",47.28,"20,161","88,971","26,445","177,758","60,627","24,607",40.59,"2,752","18,259,874","13,075",813,"24,764",9.76,10.55,11.76,14.53,13.83,13.88,10.81,9.35,5.53,55.89,41.06,"100,644"
1011,安里,"3,593","139,817","66,177",47.33,"20,770","89,890","26,828","170,548","60,592","23,938",39.51,"2,713","17,416,361","12,391",761,"26,485",9.89,10.74,11.69,14.43,13.82,13.79,10.76,9.36,5.52,55.99,41.06,"90,873"
